509,406,10,27
643,849,49,18
896,372,32,77
218,446,23,87
610,374,38,86
585,931,51,33
868,259,25,17
346,2,74,84
278,702,40,81
741,437,7,41
339,710,31,79
151,592,95,24
939,114,98,63
598,902,57,24
860,74,43,75
245,378,39,52
270,581,20,7
895,111,65,90
231,949,84,44
492,769,83,38
195,326,41,15
619,99,20,69
504,183,99,47
4,425,28,75
891,821,17,10
10,151,37,18
979,872,58,72
145,257,2,82
783,791,33,45
555,803,56,20
207,364,57,34
528,425,57,5
547,206,96,93
992,839,40,80
989,258,17,69
16,339,69,11
109,290,39,55
310,295,80,30
375,401,84,40
724,658,40,95
645,516,22,58
748,456,90,28
667,890,28,36
14,294,98,76
580,605,26,50
793,857,9,54
415,73,45,69
499,406,94,98
591,531,61,8
184,283,1,15
420,548,55,78
42,405,5,31
603,517,59,32
909,770,57,43
732,162,5,24
758,951,34,68
791,35,79,48
206,602,90,94
653,14,66,96
9,953,7,29
582,807,4,5
564,314,41,51
733,450,32,7
408,572,76,58
651,807,41,79
721,693,73,19
773,69,24,95
819,219,18,23
925,257,25,71
664,772,75,30
824,718,89,22
356,553,35,20
578,629,13,6
634,838,64,42
187,495,97,76
380,484,54,67
38,647,89,34
117,425,77,35
411,747,43,71
506,173,27,8
978,283,61,30
852,318,79,17
300,72,49,45
597,30,31,13
326,760,62,96
827,554,60,19
901,318,60,59
767,714,68,76
258,549,50,56
281,415,35,97
518,582,46,3
377,137,65,15
198,375,9,61
702,439,42,33
700,213,4,88
43,458,73,75
822,209,46,86
828,410,46,34
249,807,54,53
626,88,71,25
57,275,96,32
647,363,36,32
214,212,42,61
241,686,58,60
78,44,15,24
398,583,28,83
898,526,38,0
250,162,64,98
311,240,87,12
569,606,61,69
850,97,39,82
268,678,39,83
432,835,21,73
899,217,98,96
871,522,65,45
156,643,61,85
367,53,50,5
374,451,29,96
12,650,61,53
29,716,31,98
291,364,32,35
235,592,70,26
575,576,99,93
249,810,76,40
629,493,49,13
969,177,58,68
109,650,73,78
431,82,49,57
59,412,11,14
314,990,60,27
416,470,6,45
437,945,27,17
506,343,51,39
259,67,64,36
546,881,42,59
380,57,10,14
144,760,26,13
42,692,84,51
800,983,52,6
625,329,27,68
402,384,20,87
151,401,60,54
729,123,32,0
783,921,29,22
953,189,41,36
324,979,57,52
134,898,3,79
719,244,94,46
724,396,23,60
551,461,64,76
65,157,10,5
545,957,22,34
890,480,23,84
68,133,96,83
823,996,23,66
626,970,42,5
878,162,24,60
365,528,91,54
959,764,40,75
573,445,4,3
363,415,36,63
179,434,15,97
274,58,80,71
252,790,87,98
271,462,91,92
500,884,57,42
819,726,89,15
774,666,91,83
777,776,47,73
564,164,31,46
894,866,38,96
503,984,44,77
308,78,87,57
861,809,76,92
50,824,22,27
52,903,98,26
539,343,21,20
129,604,58,85
88,200,63,46
285,833,30,97
397,791,80,60
356,585,66,58
58,840,5,15
315,435,42,85
56,897,23,5
780,36,13,66
262,842,21,22
506,619,60,10
942,382,34,3
890,493,40,93
251,554,4,81
469,545,37,14
733,220,21,32
423,741,11,43
824,573,76,29
70,623,50,68
352,633,16,90
369,814,16,49
33,747,84,29
421,514,0,66
976,93,78,4
965,999,68,68
179,174,96,69
885,127,15,26
31,324,90,23
700,830,8,81
812,202,10,62
75,622,46,94
192,297,60,24
312,93,0,95
733,427,45,46
856,411,70,37
386,237,22,6
790,822,33,41
993,698,49,83
339,152,90,51
788,614,34,96
371,303,21,77
893,113,90,62
890,756,32,53
824,153,79,42
543,71,5,83
984,19,65,95
120,384,49,90
169,825,65,22
46,911,49,67
65,13,95,20
892,445,16,28
750,853,25,34
868,858,41,59
189,944,25,1
322,600,37,64
741,711,18,5
246,198,97,17
656,908,27,25
771,758,38,15
570,120,27,85
669,465,56,23
16,255,95,5
852,80,72,26
912,53,59,49
875,445,83,82
70,580,50,79
430,977,14,67
692,733,49,98
853,172,66,27
870,733,39,9
617,107,67,30
87,632,54,57
840,933,21,14
716,810,32,84
777,382,58,37
521,474,58,77
326,262,86,25
158,160,24,17
523,961,39,29
672,231,69,32
48,944,27,67
998,379,36,45
719,255,87,78
464,125,19,24
995,15,32,71
286,316,14,32
477,924,3,76
73,629,68,77
405,759,17,93
324,69,29,64
160,878,16,43
926,466,98,43
766,713,20,16
661,984,77,56
383,277,76,23
698,609,18,95
816,660,6,46
99,659,77,45
8,531,61,86
314,280,61,36
544,636,65,15
688,943,77,94
149,300,72,25
952,951,84,90
189,927,11,79
729,933,45,90
169,496,37,59
35,346,72,7
238,67,83,20
774,977,79,48
681,277,8,33
241,437,33,64
429,841,46,44
622,671,99,3
549,53,61,16
494,447,98,59
751,285,89,84
325,864,51,20
885,486,98,2
972,849,28,20
443,685,28,96
183,654,4,87
54,486,47,10
98,364,5,96
992,574,0,61
747,388,56,16
668,211,59,85
550,966,37,62
136,738,71,87
818,664,27,45
591,73,11,94
253,878,57,19
865,213,30,4
447,329,62,37
935,732,6,34
383,571,24,93
416,283,92,70
934,482,32,80
65,98,70,21
365,769,21,33
278,484,96,66
831,469,32,86
593,330,55,2
876,445,56,16
189,601,6,99
938,889,85,94
383,840,38,45
841,821,62,41
136,669,13,0
305,588,34,67
548,287,21,43
436,369,98,33
360,973,29,26
234,666,52,93
452,582,31,17
87,812,46,45
347,48,96,59
275,469,33,84
707,884,20,11
469,124,15,49
836,680,77,5
230,595,98,78
177,604,65,92
508,526,38,48
815,903,62,96
148,891,94,38
975,402,68,57
381,492,74,67
523,3,64,88
331,456,90,52
464,188,56,23
512,743,5,55
447,515,25,64
330,637,83,33
259,122,80,35
578,253,39,88
327,224,8,30
944,32,92,19
221,615,19,62
505,244,11,68
150,166,2,17
226,488,65,73
465,326,73,99
467,190,77,18
155,625,22,83
476,103,71,82
353,166,69,64
892,812,22,89
830,136,8,8
244,225,7,59
499,295,60,1
454,83,53,58
914,485,24,99
332,451,92,44
767,123,23,80
80,226,4,23
393,707,59,89
790,629,73,97
268,310,59,95
945,713,33,11
508,87,28,34
919,857,21,7
368,767,96,64
475,268,23,72
746,160,70,14
270,482,30,88
678,653,85,33
347,862,82,82
845,711,50,38
643,101,23,77
63,378,3,70
484,719,44,40
793,776,57,37
89,564,43,36
635,604,53,69
65,311,67,72
830,639,6,66
910,966,63,54
759,239,61,49
513,361,33,29
443,837,36,9
655,657,78,44
46,445,79,56
506,842,51,86
371,153,11,71
126,233,8,43
361,630,84,57
968,976,55,44
601,623,22,85
374,543,0,14
816,457,78,47
76,235,2,26
372,533,82,6
698,683,24,46
775,834,89,45
255,343,76,85
173,417,31,17
651,1,75,51
852,921,67,95
181,272,85,96
741,61,33,23
32,96,75,67
909,130,91,66
781,245,62,58
65,499,78,58
893,815,69,57
60,119,61,53
229,734,66,98
384,18,81,77
535,255,27,9
668,800,5,75
951,462,79,65
185,151,80,62
507,765,46,36
346,332,76,75
624,402,9,36
206,685,40,20
611,941,47,75
958,126,49,23
172,777,91,10
437,653,51,82
898,632,74,90
617,841,26,13
773,58,81,12
115,343,27,5
669,935,99,68
687,389,36,65
851,969,64,94
729,288,8,71
474,197,17,23
779,928,29,21
83,483,48,31
16,274,58,86
113,17,49,91
759,869,82,52
393,821,65,22
966,336,66,81
639,242,41,37
738,873,98,52
959,457,75,94
816,759,47,15
351,970,64,48
81,849,4,39
205,114,59,97
55,78,40,67
801,548,12,36
401,958,51,59
808,763,27,6
421,79,10,45
788,575,7,41
560,610,17,79
693,628,11,21
902,797,47,81
365,897,95,24
673,465,3,94
36,182,70,69
737,516,64,31
831,612,46,73
102,432,36,24
263,146,87,99
414,772,1,77
738,69,56,2
461,673,68,12
50,494,70,86
671,350,23,25
886,864,46,49
612,597,77,28
322,448,53,32
496,286,19,7
326,845,61,75
671,865,64,65
255,481,93,61
128,864,4,79
359,111,72,70
998,387,56,44
276,316,74,24
55,619,16,24
536,8,75,45
209,323,5,7
59,925,4,97
15,337,21,48
656,134,90,40
166,82,88,24
530,531,16,79
996,53,8,82
773,338,64,16
982,326,7,90
866,606,69,96
238,52,91,84
185,716,66,62
21,964,90,23
492,874,45,99
228,870,10,35
444,616,93,90
896,157,87,68
84,306,52,63
704,290,29,41
350,636,65,39
470,314,75,93
568,126,25,87
654,349,38,34
955,624,28,71
857,96,58,93
119,806,21,99
318,332,51,71
558,677,53,75
419,413,61,87
163,69,24,47
183,773,8,33
712,143,35,62
771,425,38,19
376,887,41,8
987,459,73,28
216,619,96,72
775,543,63,59
684,484,6,82
720,423,35,86
122,954,80,66
545,425,41,0
262,331,77,94
